,text,label
0,project discussion check now meeting please de…,not spam
1,client prize regarding about check report sche...,not spam
2,please update today,not spam
3,today regarding urgent client now details report,not spam
4,information prize urgent regarding,spam
5,information client details today now,not spam
6,offer today information please about,spam
7,update information about regarding schedule,not spam
8,information now win,spam
9,cash free meeting details regarding about,spam
10,urgent check information,spam
11,about update money win details,spam
12,today cash about team now project please,not spam
13,details today discussion client meeting,not spam
14,now check please about money,spam
15,now cash win money information today,spam
16,about prize cash update win now,spam
17,urgent team about check,not spam
18,project discussion about now schedule please,not spam
19,bonus free check about update now money inform...,spam
20,details information please urgent now free offer,spam
21,schedule information please bonus offer,spam
22,now free about bonus information details,spam
23,details information now check prize,spam
24,about now update team today,not spam
25,information about schedule client,not spam
26,client please check prize information,spam
27,regarding win free information,spam
28,please bonus information money urgent check now,spam
29,please today information details free,spam
30,now bonus today,spam
31,report update please discussion about,not spam
32,project today details,not spam
33,meeting about regarding information today,not spam
34,now check today schedule about,not spam
35,prize offer check meeting now,spam
36,prize report please information details,not spam
37,now details win urgent please free,spam
38,money prize about bonus details check,spam
39,now money project schedule please,not spam
40,information please free discussion check,not spam
41,urgent money today details prize,spam
42,about today information report regarding win,not spam
43,cash bonus about today update,spam
44,regarding update today report information,not spam
45,client check team please schedule details,not spam
46,information now free money regarding,spam
47,offer check details please information,spam
48,please money regarding details bonus,spam
49,about project update meeting please,not spam
50,now report cash project please client,not spam
51,now urgent free please money,spam
52,discussion please free today check,not spam
53,schedule today information please,not spam
54,client details win meeting now today update,not spam
55,prize details check schedule meeting informati...,not spam
56,regarding schedule discussion client about tod...,not spam
57,now free details prize offer check,spam
58,about today check team please,not spam
59,free information please prize details cash,spam
60,check details client about regarding,not spam
61,about information regarding bonus money prize now,spam
62,about discussion check now client,not spam
63,today offer please urgent prize team,spam
64,win please regarding now,spam
65,details report discussion today,not spam
66,please today information report team,not spam
67,information today money please team check clie...,not spam
68,today client regarding,not spam
69,bonus information prize today please,spam
70,team regarding now,not spam
71,schedule now about regarding cash free win,spam
72,information now win regarding,spam
73,now regarding free cash prize,spam
74,schedule check regarding win now offer,spam
75,report details about meeting check today free ...,not spam
76,please details urgent team update meeting,not spam
77,now meeting please details about,not spam
78,regarding about check win team please,not spam
79,update discussion today information,not spam
80,information details meeting today please,not spam
81,please regarding report about,not spam
82,information prize bonus about now details urgent,spam
83,schedule discussion details regarding today about,not spam
84,report regarding meeting details schedule,not spam
85,prize now offer regarding,spam
86,schedule project details meeting please check,not spam
87,client check project details win about schedul...,not spam
88,regarding now money,spam
89,regarding please details urgent project schedu...,not spam
90,prize about information offer now,spam
91,about regarding prize schedule team,not spam
92,offer please now bonus,spam
93,check now information urgent offer,spam
94,report update client regarding check urgent,not spam
95,regarding details project client team informat...,not spam
96,details now prize regarding cash offer about,spam
97,cash details discussion regarding today please,spam
98,check regarding today report details,not spam
99,regarding update now,not spam
100,bonus win now check schedule about money today,spam
101,about check offer today,spam
102,about today check prize details,spam
103,about update please now meeting,not spam
104,project information discussion today update,not spam
105,cash please now regarding,spam
106,about project please check,not spam
107,prize about information check regarding urgent,spam
108,information report update about client,not spam
109,details prize information today discussion mon...,spam
110,team report urgent now details meeting,not spam
111,team check information prize,not spam
112,check project today please meeting details,not spam
113,regarding now win details,spam
114,now regarding schedule prize details,not spam
115,check client please update,not spam
116,report now bonus check details discussion today,not spam
117,urgent today project information,not spam
118,meeting about urgent information report client,not spam
119,details today cash about update check,not spam
120,about meeting please now check,not spam
121,project regarding update about,not spam
122,check money please win free information now,spam
123,prize now information check please money,spam
124,prize information details now free please,spam
125,win today check,spam
126,about today regarding bonus urgent cash check,spam
127,check now please offer about,spam
128,update please meeting about,not spam
129,client check project win details,not spam
130,regarding details please schedule information ...,spam
